title,company,location,scrape_date,scrape_time,title_raw,paren_raw,title_clean,seniority,work_mode,employment_type,role_group
"DevOps Engineer (Remote, Full-Time)",Smart Working,"Chennai, Tamil Nadu, India",2025-07-16,15:33:59,"DevOps Engineer (Remote, Full-Time)","Remote, Full-Time",devops engineer,unknown,remote,full_time,devops_sre
DevOps Engineer,Zipnom,"Hyderabad, Telangana, India",2025-07-16,15:33:59,DevOps Engineer,,devops engineer,unknown,unknown,unknown,devops_sre
Data Engineer III,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2025-07-16,15:33:59,Data Engineer III,,data engineer iii,unknown,unknown,unknown,data_engineering
Data Engineer,Logesys Solutions India Pvt. Ltd,"Bengaluru, Karnataka, India",2025-07-16,15:35:15,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
Software Engineer IV - Sr. Databricks ETL/Data Engineer,Candescent,"Hyderabad, Telangana, India",2025-07-16,15:35:15,Software Engineer IV - Sr. Databricks ETL/Data Engineer,,software engineer iv sr databricks etl data engineer,senior,unknown,unknown,data_engineering
Senior Data Engineer Job,YASH Technologies,"Pune, Maharashtra, India",2025-07-16,15:35:15,Senior Data Engineer Job,,senior data engineer job,senior,unknown,unknown,data_engineering
Senior Staff Software Development Engineer - DevOps,Zscaler,"Bengaluru East, Karnataka, India",2025-07-16,15:35:15,Senior Staff Software Development Engineer - DevOps,,senior staff software development engineer devops,senior,unknown,unknown,devops_sre
Data Engineer,myGwork - LGBTQ+ Business Community,"Bengaluru, Karnataka, India",2025-07-16,15:35:15,Data Engineer,,data engineer,unknown,unknown,unknown,data_engineering
"Senior Cloud Engineer, Cloud Platform",Kinaxis,"Chennai, Tamil Nadu, India",2025-07-16,15:35:15,"Senior Cloud Engineer, Cloud Platform",,senior cloud engineer cloud platform,senior,unknown,unknown,cloud
Azure DevOps Engineer,Talent Crafters,"Remote, IN",2025-07-16,11:26:47,Azure DevOps Engineer,,azure devops engineer,unknown,unknown,unknown,devops_sre
Junior Data Engineer,Zelestra,"Gurugram, Haryana, India",2025-07-16,11:26:47,Junior Data Engineer,,junior data engineer,junior,unknown,unknown,data_engineering
Data Engineer (Bigdata + Java/Python),Visa,"Bengaluru, Karnataka, India",2025-07-16,11:26:47,Data Engineer (Bigdata + Java/Python),Bigdata + Java/Python,data engineer,unknown,unknown,unknown,data_engineering
